question_id,version,problem_type,question_text,correct_choice_id,correct_choice_name,near_miss_choice_1_id,near_miss_choice_1_name,near_miss_choice_1_reason,near_miss_choice_2_id,near_miss_choice_2_name,near_miss_choice_2_reason,wrong_choice_id,wrong_choice_name,wrong_reason,validation_status,validation_notes
Q011,v1.0_final,F01,筋力アップを狙っています。普通の食事で主なたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,food_pork_tenderloin,豚ヒレ,food_rice_regular,ごはん普通盛り,一部は合うが、主条件が足りない。,food_tuna_egg_sand,ツナ卵サンド,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_vegetable_salad,野菜サラダ,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q012,v1.0_final,F02,脚トレ後で消費が大きいです。たんぱく質と炭水化物を同時に取りたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,food_salad_chicken,サラダチキン,一部は合うが、主条件が足りない。,food_banana,バナナ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q013,v1.0_final,F02,長めの全身トレ後です。回復を優先して食事を選びたい。 4つの中で最も合うものはどれですか。,food_chicken_soboro_bowl,鶏そぼろ丼,protein_whey_isolate,ホエイアイソレート標準,一部は合うが、主条件が足りない。,food_onigiri_salt,塩おにぎり,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q014,v1.0_final,F02,有酸素も入れてかなり動きました。食事で回復したい。 4つの中で最も合うものはどれですか。,food_grilled_salmon_set,鮭定食ライト,food_tuna_can_water,ツナ水煮,一部は合うが、主条件が足りない。,food_sports_drink,スポーツドリンク,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q015,v1.0_final,F02,下半身トレ後で空腹です。主食と主菜をまとめて取りたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_boiled_egg,ゆで卵,一部は合うが、主条件が足りない。,food_orange,オレンジ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q016,v1.0_final,F02,トレーニング量が多い日です。糖質だけでなくたんぱく質も必要です。 4つの中で最も合うものはどれですか。,food_white_fish_rice,白身魚＋ごはん,protein_whey_concentrate,ホエイプロテイン標準,一部は合うが、主条件が足りない。,food_banana,バナナ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q017,v1.0_final,F02,部活後のように消耗が大きい設定です。食事として回復したい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,protein_recovery_carb_protein,回復用 糖質＋プロテイン標準,一部は合うが、主条件が足りない。,food_sports_drink,スポーツドリンク,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q018,v1.0_final,F02,脚トレ後で消費が大きいです。たんぱく質と炭水化物を同時に取りたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,food_salad_chicken,サラダチキン,一部は合うが、主条件が足りない。,food_banana,バナナ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q019,v1.0_final,F02,長めの全身トレ後です。回復を優先して食事を選びたい。 4つの中で最も合うものはどれですか。,food_chicken_soboro_bowl,鶏そぼろ丼,protein_whey_isolate,ホエイアイソレート標準,一部は合うが、主条件が足りない。,food_onigiri_salt,塩おにぎり,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q020,v1.0_final,F02,有酸素も入れてかなり動きました。食事で回復したい。 4つの中で最も合うものはどれですか。,food_grilled_salmon_set,鮭定食ライト,food_tuna_can_water,ツナ水煮,一部は合うが、主条件が足りない。,food_sports_drink,スポーツドリンク,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q021,v1.0_final,F02,下半身トレ後で空腹です。主食と主菜をまとめて取りたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_boiled_egg,ゆで卵,一部は合うが、主条件が足りない。,food_orange,オレンジ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q022,v1.0_final,F02,トレーニング量が多い日です。糖質だけでなくたんぱく質も必要です。 4つの中で最も合うものはどれですか。,food_white_fish_rice,白身魚＋ごはん,protein_whey_concentrate,ホエイプロテイン標準,一部は合うが、主条件が足りない。,food_banana,バナナ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q023,v1.0_final,F03,減量中ですが筋肉は落としたくありません。低脂質でたんぱく質を取りたい。 4つの中で最も合うものはどれですか。,food_chicken_sasami,鶏ささみ,food_broccoli,ブロッコリー,一部は合うが、主条件が足りない。,food_mixed_nuts,ミックスナッツ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q024,v1.0_final,F03,体脂肪を落としたい時期です。たんぱく質を確保したい。 4つの中で最も合うものはどれですか。,food_chicken_breast,鶏むね肉,food_banana,バナナ,一部は合うが、主条件が足りない。,food_fried_chicken,唐揚げ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q025,v1.0_final,F03,減量中の昼食です。エネルギーを抑えつつ筋肉維持を狙います。 4つの中で最も合うものはどれですか。,food_chicken_salad_onigiri_small,鶏むねサラダ＋小おにぎり,food_vegetable_salad,野菜サラダ,一部は合うが、主条件が足りない。,food_peanut_butter_toast,ピーナッツバタートースト,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q026,v1.0_final,F03,減量中で乳製品は問題ありません。低脂質の補助を選びたい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_frozen_berries,ベリー,一部は合うが、主条件が足りない。,food_cheese,チーズ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q027,v1.0_final,F03,減量中ですが大豆は問題ありません。植物性でもたんぱく質を取りたい。 4つの中で最も合うものはどれですか。,protein_soy,ソイプロテイン標準,food_boiled_beans,ミックスビーンズ,一部は合うが、主条件が足りない。,food_avocado,アボカド,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q028,v1.0_final,F03,減量中の夕食です。脂質を抑えて主菜を選びたい。 4つの中で最も合うものはどれですか。,food_pork_tenderloin,豚ヒレ,food_broccoli,ブロッコリー,一部は合うが、主条件が足りない。,food_mackerel_grilled,焼きさば,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q029,v1.0_final,F03,減量中ですが筋肉は落としたくありません。低脂質でたんぱく質を取りたい。 4つの中で最も合うものはどれですか。,food_chicken_sasami,鶏ささみ,food_broccoli,ブロッコリー,一部は合うが、主条件が足りない。,food_mixed_nuts,ミックスナッツ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q030,v1.0_final,F03,体脂肪を落としたい時期です。たんぱく質を確保したい。 4つの中で最も合うものはどれですか。,food_chicken_breast,鶏むね肉,food_banana,バナナ,一部は合うが、主条件が足りない。,food_fried_chicken,唐揚げ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q031,v1.0_final,F03,減量中の昼食です。エネルギーを抑えつつ筋肉維持を狙います。 4つの中で最も合うものはどれですか。,food_chicken_salad_onigiri_small,鶏むねサラダ＋小おにぎり,food_vegetable_salad,野菜サラダ,一部は合うが、主条件が足りない。,food_peanut_butter_toast,ピーナッツバタートースト,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q032,v1.0_final,F03,減量中で乳製品は問題ありません。低脂質の補助を選びたい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_frozen_berries,ベリー,一部は合うが、主条件が足りない。,food_cheese,チーズ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q033,v1.0_final,F03,減量中ですが大豆は問題ありません。植物性でもたんぱく質を取りたい。 4つの中で最も合うものはどれですか。,protein_soy,ソイプロテイン標準,food_boiled_beans,ミックスビーンズ,一部は合うが、主条件が足りない。,food_avocado,アボカド,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q034,v1.0_final,F04,最近体重が落ち気味です。低カロリーに寄せすぎず、食事で補いたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,protein_whey_isolate,ホエイアイソレート標準,一部は合うが、主条件が足りない。,protein_weight_up,ウェイトアップ標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q035,v1.0_final,F04,運動量が増えて食事量が足りていません。エネルギーとたんぱく質を足したい。 4つの中で最も合うものはどれですか。,food_chicken_soboro_bowl,鶏そぼろ丼,food_salad_chicken,サラダチキン,一部は合うが、主条件が足りない。,food_pasta_tomato,トマトパスタ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q036,v1.0_final,F04,疲れが残りやすい設定です。食事量不足を避けたい。 4つの中で最も合うものはどれですか。,food_fried_chicken_bento,唐揚げ弁当,food_banana,バナナ,一部は合うが、主条件が足りない。,protein_whey_concentrate,ホエイプロテイン標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q037,v1.0_final,F04,体重を増やしたいわけではないが、落ちすぎが心配です。回復食を選びたい。 4つの中で最も合うものはどれですか。,food_grilled_salmon_set,鮭定食ライト,protein_weight_up,ウェイトアップ標準,一部は合うが、主条件が足りない。,food_miso_soup,味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q038,v1.0_final,F04,筋トレ量が多く、食事全体の量を増やしたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,food_yogurt_plain,プレーンヨーグルト,一部は合うが、主条件が足りない。,food_onigiri_salt,塩おにぎり,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q039,v1.0_final,F04,低エネルギーが心配な相談です。主食と主菜があるものを選びたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_tuna_can_water,ツナ水煮,一部は合うが、主条件が足りない。,food_pasta_tomato,トマトパスタ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q040,v1.0_final,F04,最近体重が落ち気味です。低カロリーに寄せすぎず、食事で補いたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,protein_whey_isolate,ホエイアイソレート標準,一部は合うが、主条件が足りない。,protein_weight_up,ウェイトアップ標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q041,v1.0_final,F04,運動量が増えて食事量が足りていません。エネルギーとたんぱく質を足したい。 4つの中で最も合うものはどれですか。,food_chicken_soboro_bowl,鶏そぼろ丼,food_salad_chicken,サラダチキン,一部は合うが、主条件が足りない。,food_pasta_tomato,トマトパスタ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q042,v1.0_final,F04,疲れが残りやすい設定です。食事量不足を避けたい。 4つの中で最も合うものはどれですか。,food_fried_chicken_bento,唐揚げ弁当,food_banana,バナナ,一部は合うが、主条件が足りない。,protein_whey_concentrate,ホエイプロテイン標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q043,v1.0_final,F04,体重を増やしたいわけではないが、落ちすぎが心配です。回復食を選びたい。 4つの中で最も合うものはどれですか。,food_grilled_salmon_set,鮭定食ライト,protein_weight_up,ウェイトアップ標準,一部は合うが、主条件が足りない。,food_miso_soup,味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q044,v1.0_final,F04,筋トレ量が多く、食事全体の量を増やしたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,food_yogurt_plain,プレーンヨーグルト,一部は合うが、主条件が足りない。,food_onigiri_salt,塩おにぎり,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q045,v1.0_final,F05,鉄も意識したい相談です。診断ではなく、食事選びとして主菜を選びます。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_natto,納豆,一部は合うが、主条件が足りない。,food_komatsuna,小松菜,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q046,v1.0_final,F05,最近ふらつきが気になると言います。医療判断はせず、鉄を意識した食事を選びます。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_spinach_ohitashi,ほうれん草のおひたし,一部は合うが、主条件が足りない。,food_clam_miso,あさり味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q047,v1.0_final,F05,女性相談者で鉄も意識したい設定です。主菜として選びたい。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_bonito,かつお,一部は合うが、主条件が足りない。,food_komatsuna,小松菜,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q048,v1.0_final,F05,鉄を意識しながら、たんぱく質も取れるものを選びたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_natto,納豆,一部は合うが、主条件が足りない。,food_clam_komatsuna_miso_soup,あさりと小松菜の味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q049,v1.0_final,F05,汗をかく運動後ですが、今回は鉄を意識したい問題です。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_spinach_ohitashi,ほうれん草のおひたし,一部は合うが、主条件が足りない。,food_miso_soup,味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q050,v1.0_final,F05,鉄を意識するが、野菜だけで済ませたくない相談です。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_komatsuna,小松菜,一部は合うが、主条件が足りない。,food_natto,納豆,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q051,v1.0_final,F05,鉄も意識したい相談です。診断ではなく、食事選びとして主菜を選びます。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_natto,納豆,一部は合うが、主条件が足りない。,food_komatsuna,小松菜,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q052,v1.0_final,F05,最近ふらつきが気になると言います。医療判断はせず、鉄を意識した食事を選びます。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_spinach_ohitashi,ほうれん草のおひたし,一部は合うが、主条件が足りない。,food_clam_miso,あさり味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q053,v1.0_final,F05,女性相談者で鉄も意識したい設定です。主菜として選びたい。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_bonito,かつお,一部は合うが、主条件が足りない。,food_komatsuna,小松菜,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q054,v1.0_final,F05,鉄を意識しながら、たんぱく質も取れるものを選びたい。 4つの中で最も合うものはどれですか。,food_beef_lean_bowl,牛赤身丼,food_natto,納豆,一部は合うが、主条件が足りない。,food_clam_komatsuna_miso_soup,あさりと小松菜の味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q055,v1.0_final,F05,汗をかく運動後ですが、今回は鉄を意識したい問題です。 4つの中で最も合うものはどれですか。,food_beef_lean,牛赤身肉,food_spinach_ohitashi,ほうれん草のおひたし,一部は合うが、主条件が足りない。,food_miso_soup,味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q056,v1.0_final,F06,胃が重いと言っています。脂質が少なく食べやすいものを選びたい。 4つの中で最も合うものはどれですか。,food_egg_zosui,卵雑炊,food_banana,バナナ,一部は合うが、主条件が足りない。,food_fried_chicken,唐揚げ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q057,v1.0_final,F06,食欲が少ないトレーニング後です。軽く食べられるものを選びたい。 4つの中で最も合うものはどれですか。,food_rice_porridge,おかゆ,food_orange,オレンジ,一部は合うが、主条件が足りない。,food_mackerel_grilled,焼きさば,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
